193	34
21	15
109	42
12	9
42	27
68	29
	
35	24
22	15
88	42
175	85
30	19
	
26	8
905	249
45	48
60	23
53	23
21	10
9	10
111	46
	
55	30
109	38
21	22
21	11
142	74
43	25
52	17
13	12
39	26
20	27
26	17
24	8
41	16
	
32	16
	
160	77
76	29
	
31	24
	
40	8
30	11
	
58	21
47	21
	
9	7
8	3
9	5
24	17
29	19
13	11
	
	
	
	
	
16	10
1	5
9	7
45	21
7	4
20	25
154	82
72	42
21	3
	
	
9	3
15	3
10	12
11	8
12	10
	
27	10
34	26
138	66
93	49
17	23
89	54
32	19
32	29
117	62
73	49
23	26
128	63
	
64	33
56	17
49	17
48	26
90	75
190	87
57	35
148	73
66	55
290	114
	
273	144
63	26
52	24
9	6
59	38
16	12
10	7
28	13
49	34
280	146
	
120	46
34	13
45	25
10	11
171	79
131	64
167	77
63	57
20	14
9	8
	
355	76
125	41
166	55
122	43
49	18
70	26
35	14
132	46
164	78
507	188
	
34	22
136	51
35	34
92	34
16	14
98	39
53	47
35	14
49	23
29	12
	
71	40
41	26
88	31
67	30
57	30
48	30
89	47
	
83	25
88	44
	
66	54
167	77
35	12
80	70
26	8
79	35
49	50
122	61
27	14
25	11
